no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets_value,loan_to_asset_ratio
2,Graduate,No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,1,3.1145833333333335,50700000,0.5897435897435898
0,Not Graduate,Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0,2.975609756097561,17000000,0.7176470588235294
3,Graduate,No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0,3.2637362637362637,57700000,0.5147313691507799
3,Graduate,No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0,3.7439024390243905,52700000,0.5825426944971537
5,Not Graduate,Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,0,2.4693877551020407,55000000,0.44
0,Graduate,Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,0,2.8125,33900000,0.39823008849557523
5,Graduate,No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,1,3.793103448275862,70800000,0.4661016949152542
2,Graduate,Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,0,2.6315789473684212,36700000,0.4087193460490463
0,Graduate,Yes,800000,2200000,20,782,1300000,800000,2800000,600000,1,2.75,5500000,0.4
5,Not Graduate,No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,0,3.909090909090909,9500000,0.45263157894736844
4,Graduate,Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,1,3.8620689655172415,25400000,0.4409448818897638
2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0,3.388059701492537,47900000,0.47390396659707723
3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,0,2.32,34900000,0.332378223495702
2,Graduate,Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,1,3.4615384615384617,53300000,0.5909943714821764
1,Not Graduate,No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,0,3.8947368421052633,10900000,0.6788990825688074
5,Not Graduate,No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1,2.276595744680851,30400000,0.3519736842105263
2,Graduate,Yes,500000,1600000,4,663,1300000,100000,1300000,700000,1,3.2,3400000,0.47058823529411764
4,Not Graduate,Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,1,3.2413793103448274,16700000,0.562874251497006
2,Graduate,No,2700000,10300000,10,736,1000000,0,6200000,3300000,1,3.814814814814815,10500000,0.9809523809523809
5,Graduate,No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,1,2.3174603174603177,43200000,0.33796296296296297
2,Graduate,No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0,3.88,35200000,0.5511363636363636
4,Graduate,No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0,2.413793103448276,42700000,0.32786885245901637
4,Graduate,Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0,3.953846153846154,42800000,0.6004672897196262
0,Not Graduate,Yes,500000,1400000,2,551,900000,600000,1100000,300000,1,2.8,2900000,0.4827586206896552
0,Not Graduate,No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0,2.0,25800000,0.3798449612403101
5,Not Graduate,No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0,3.064516129032258,20200000,0.47029702970297027
4,Graduate,No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,1,3.426829268292683,54600000,0.5146520146520146
4,Not Graduate,Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,1,2.3333333333333335,16600000,0.3373493975903614
5,Not Graduate,Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,0,3.4285714285714284,51400000,0.4669260700389105
3,Not Graduate,Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,1,3.5,75900000,0.4150197628458498
2,Not Graduate,No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,0,2.5816326530612246,60200000,0.420265780730897
2,Graduate,No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,0,2.1052631578947367,37000000,0.32432432432432434
1,Not Graduate,Yes,800000,1600000,10,436,700000,200000,2200000,1000000,0,2.0,4100000,0.3902439024390244
5,Not Graduate,Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,1,2.619047619047619,33000000,0.6666666666666666
3,Graduate,No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,1,2.4285714285714284,35700000,0.3333333333333333
2,Graduate,Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,1,2.0,12400000,0.27419354838709675
3,Not Graduate,No,1600000,6200000,18,636,3400000,700000,5300000,1400000,1,3.875,10800000,0.5740740740740741
5,Graduate,Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,0,3.4,30500000,0.8918032786885246
5,Graduate,No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,1,2.138888888888889,21200000,0.3632075471698113
3,Not Graduate,Yes,1500000,5100000,6,352,100000,200000,5600000,900000,0,3.4,6800000,0.75
1,Graduate,No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1,2.3205128205128207,50500000,0.3584158415841584
2,Not Graduate,No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,1,2.7362637362637363,70600000,0.3526912181303116
3,Graduate,No,1400000,3400000,6,540,200000,1500000,3900000,800000,0,2.4285714285714284,6400000,0.53125
2,Graduate,Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,0,2.875,6100000,0.3770491803278688
5,Graduate,No,6500000,13400000,18,787,18200000,300000,16200000,5400000,1,2.0615384615384613,40100000,0.3341645885286783
4,Graduate,No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,0,3.475,51600000,0.5387596899224806
3,Not Graduate,Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,1,3.4761904761904763,22900000,0.6375545851528385
1,Graduate,Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1,3.8979591836734695,38700000,0.4935400516795866
3,Not Graduate,No,5500000,20500000,12,634,800000,8600000,18500000,8200000,1,3.727272727272727,36100000,0.5678670360110804
1,Not Graduate,Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,1,2.0105263157894737,60000000,0.31833333333333336
4,Graduate,No,7300000,25400000,16,502,500000,1800000,20500000,10500000,0,3.4794520547945207,33300000,0.7627627627627628
2,Graduate,No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,0,2.839080459770115,43400000,0.5691244239631337
5,Not Graduate,No,3800000,7600000,4,689,8700000,100000,9300000,3400000,1,2.0,21500000,0.35348837209302325
1,Not Graduate,Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,1,2.738095238095238,70300000,0.32716927453769556
2,Graduate,Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,1,3.8627450980392157,39500000,0.49873417721518987
5,Not Graduate,No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,1,3.656716417910448,29300000,0.8361774744027304
2,Not Graduate,No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0,2.4651162790697674,18100000,0.585635359116022
5,Graduate,Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,1,3.2795698924731185,72900000,0.41838134430727025
1,Graduate,No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,0,2.4864864864864864,49200000,0.37398373983739835
4,Not Graduate,Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,1,3.309090909090909,28200000,0.6453900709219859
2,Not Graduate,No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,0,2.223529411764706,77400000,0.2441860465116279
3,Not Graduate,Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1,3.1770833333333335,42400000,0.7193396226415094
5,Not Graduate,Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,0,3.284090909090909,65100000,0.44393241167434716
3,Not Graduate,Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,1,2.272727272727273,20600000,0.3640776699029126
4,Graduate,Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,1,3.1538461538461537,30400000,0.40460526315789475
1,Graduate,No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0,2.5121951219512195,33300000,0.30930930930930933
3,Not Graduate,No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,1,3.5060240963855422,54000000,0.5388888888888889
0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,0,3.740740740740741,9200000,1.0978260869565217
4,Graduate,No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,1,2.2142857142857144,25900000,0.47876447876447875
0,Graduate,No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,0,2.6315789473684212,14100000,0.3546099290780142
4,Not Graduate,Yes,500000,1500000,20,340,100000,200000,1900000,600000,0,3.0,2800000,0.5357142857142857
5,Graduate,Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1,3.509433962264151,28500000,0.6526315789473685
5,Not Graduate,No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,0,2.6142857142857143,59200000,0.3091216216216216
3,Not Graduate,Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,1,2.8793103448275863,31500000,0.5301587301587302
2,Not Graduate,No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0,3.230769230769231,17900000,0.4692737430167598
2,Not Graduate,No,1900000,6500000,18,671,600000,2500000,4800000,1100000,1,3.4210526315789473,9000000,0.7222222222222222
4,Graduate,No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1,2.5964912280701755,41300000,0.3583535108958838
0,Graduate,No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,1,3.7222222222222223,67000000,0.5
2,Not Graduate,No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1,3.458823529411765,57400000,0.5121951219512195
0,Not Graduate,No,700000,1400000,14,639,1900000,700000,2400000,900000,1,2.0,5900000,0.23728813559322035
4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,0,2.5428571428571427,17800000,0.5
0,Not Graduate,No,8800000,31200000,4,826,2900000,500000,33300000,8600000,1,3.5454545454545454,45300000,0.6887417218543046
2,Not Graduate,Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0,2.1414141414141414,70300000,0.3015647226173542
3,Graduate,No,3600000,8600000,20,613,9400000,300000,10300000,3300000,1,2.388888888888889,23300000,0.36909871244635195
3,Not Graduate,Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1,2.7333333333333334,25500000,0.3215686274509804
2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,0,3.1176470588235294,48700000,0.4353182751540041
5,Not Graduate,Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,0,3.4545454545454546,7900000,0.4810126582278481
1,Not Graduate,Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0,3.2528735632183907,72100000,0.3925104022191401
4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,1,4.0,14500000,0.5517241379310345
2,Not Graduate,No,9800000,37600000,10,641,24100000,0,23400000,7600000,1,3.836734693877551,55100000,0.6823956442831216
4,Graduate,No,5700000,21100000,18,489,500000,4300000,12500000,6000000,0,3.7017543859649122,23300000,0.9055793991416309
4,Graduate,No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,0,2.352272727272727,57500000,0.36
4,Graduate,No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,1,2.3421052631578947,30400000,0.29276315789473684
1,Graduate,No,1700000,6400000,10,452,900000,1100000,5600000,2100000,0,3.764705882352941,9700000,0.6597938144329897
2,Graduate,No,1000000,2000000,10,366,1200000,400000,3200000,1300000,0,2.0,6100000,0.32786885245901637
5,Graduate,No,300000,1100000,2,300,100000,500000,700000,400000,1,3.6666666666666665,1700000,0.6470588235294118
2,Graduate,Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,0,2.272727272727273,31200000,0.4807692307692308
2,Not Graduate,No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,1,2.8735632183908044,53700000,0.4655493482309125
4,Graduate,No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1,3.127659574468085,84600000,0.3475177304964539
0,Graduate,No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0,2.4545454545454546,25700000,0.42023346303501946
4,Not Graduate,No,400000,900000,12,478,700000,100000,1200000,100000,0,2.25,2100000,0.42857142857142855
2,Not Graduate,Yes,300000,1100000,2,702,300000,200000,500000,200000,1,3.6666666666666665,1200000,0.9166666666666666
2,Not Graduate,Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,1,3.0,28800000,0.4479166666666667
4,Graduate,No,1600000,4500000,12,633,700000,1700000,4100000,1900000,1,2.8125,8400000,0.5357142857142857
5,Not Graduate,Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,0,3.806451612903226,61300000,0.38499184339314846
